Vehicle,Powertrain,Fuel,Consumption,Unit,Total mileage [km],Annual mileage [km],End-of-life year
Car,ICEV-P,Petrol,9.061494644,l/100km,225000,22081,2035
Car,ICEV-D,Diesel,6.396385541592999,l/100km,307000,22081,2038
Car,BEV,Electricity,18.5,kWh/100 km,225000,22081,2035
Car,PHEV,Electricity,53.0,%,225000,22081,2035
Car,FCEV,Hydrogen,0.897,kg/100 km,225000,22081,2035
LCV,ICEV-D,Diesel,9.384337348552998,l/100km,398200,32548,2037
LCV,ICEV-CNG,CNG,7.744,kg/100 km,396300,32548,2037
LCV,BEV,Electricity,30.9025,kWh/100 km,398200,32548,2037
LCV,PHEV,Electricity,53.0,%,398200,32548,2037
LCV,FCEV,Hydrogen,1.498,kg/100 km,398200,32548,2037
Truck,ICEV-D,Diesel,18.372289154973,l/100km,647000,42999,2040
Truck,BEV,Electricity,62.79625,kWh/100 km,550000,42999,2037
Truck,HEV,Diesel,13.779518071048999,l/100km,550000,42999,2037
Truck,FCEV,Hydrogen,3.045,kg/100 km,550000,42999,2037
Bus,ICEV-D,Diesel,38.86024096035799,l/100km,784600,63700,2037
Bus,ICEV-CNG,CNG,36.363,kg/100 km,629700,63700,2034
Bus,BEV,Electricity,132.825,kWh/100 km,784600,63700,2037
Bus,HEV,Diesel,26.666265057840995,l/100km,784600,63700,2037
Bus,FCEV,Hydrogen,6.44,kg/100 km,784600,63700,2037
